point_id,figure,sample_id,target_temperature_c,pixel_x,pixel_y,status,reason,temperature_c,temperature_c_lower,temperature_c_upper,plotted_weight_percent,plotted_weight_percent_lower,plotted_weight_percent_upper
fig39-11,39,areias2019-collected-lot-2,1000,434,323.5,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,1000.44,991.24,1009.63,44.23,43.61,44.85
fig39-12,39,areias2019-collected-lot-2,1100,472,326.5,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,1100.22,1091.02,1109.41,43.68,43.06,44.30
fig39-13,39,areias2019-collected-lot-2,1150,491,328.5,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,1150.11,1140.91,1159.30,43.31,42.69,43.93
fig40-01,40,areias2019-collected-lot-3,50,80,104.5,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,50.50,41.68,59.32,97.56,96.63,98.49
fig40-02,40,areias2019-collected-lot-3,100,101,114.0,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,101.00,92.18,109.82,94.89,93.96,95.83
fig40-03,40,areias2019-collected-lot-3,200,142,125.5,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,199.60,190.78,208.42,91.67,90.74,92.60
fig40-04,40,areias2019-collected-lot-3,300,184,201.0,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,300.60,291.78,309.42,70.49,69.56,71.42
fig40-05,40,areias2019-collected-lot-3,400,225,262.0,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,399.20,390.38,408.02,53.38,52.45,54.31
fig40-06,40,areias2019-collected-lot-3,500,267,292.0,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,500.20,491.38,509.02,44.96,44.03,45.90
fig40-07,40,areias2019-collected-lot-3,600,308,297.5,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,598.80,589.97,607.62,43.42,42.49,44.35
fig40-08,40,areias2019-collected-lot-3,700,350,299.5,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,699.80,690.98,708.62,42.86,41.93,43.79
fig40-09,40,areias2019-collected-lot-3,800,392,302.5,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,800.80,791.98,809.62,42.02,41.09,42.95
fig40-10,40,areias2019-collected-lot-3,900,433,303.5,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,899.40,890.58,908.22,41.74,40.81,42.67
fig40-11,40,areias2019-collected-lot-3,1000,475,306.5,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,1000.40,991.58,1009.22,40.90,39.97,41.83
fig40-12,40,areias2019-collected-lot-3,1100,516,309.5,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,1099.00,1090.18,1107.82,40.06,39.13,40.99
fig40-13,40,areias2019-collected-lot-3,1150,537,311.5,picked,Visually follows green Peso trace; one contiguous same-column green footprint fits unchanged +/-2 pixel y box.,1149.50,1140.68,1158.32,39.50,38.56,40.43
